taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
330922	species	Psychrobacter cryohalolentis	2	4	5	4	4.5	4.50	0.50	[4, 5]
1809	species	Mycobacterium ulcerans	6	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1]
174	species	Leptospira borgpetersenii	24	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
117207	species	Sphingopyxis alaskensis	1	1	1	1	1	1.00	0.00	[1]
658062	species	Candidatus Korobacter versatilis	1	1	1	1	1	1.00	0.00	[1]
28197	species	Aliarcobacter butzleri	8	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5]
2434	species	Roseobacter denitrificans	2	1	1	1	1.0	1.00	0.00	[1, 1]
292414	species	Ruegeria sp. TM1040	1	5	5	5	5	5.00	0.00	[5]
1542	species	Clostridium novyi	2	10	11	10	10.5	10.50	0.50	[10, 11]
985	species	Cytophaga hutchinsonii	1	3	3	3	3	3.00	0.00	[3]
49319	species	Rubrobacter xylanophilus	2	1	1	1	1.0	1.00	0.00	[1, 1]
1305	species	Streptococcus sanguinis	7	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4, 4, 4]
3042615	species	Paraglaciecola sp. T6c	1	5	5	5	5	5.00	0.00	[5]
364410	species	Granulibacter bethesdensis	10	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
788	species	Rickettsia canadensis	2	1	1	1	1.0	1.00	0.00	[1, 1]
1247	species	Oenococcus oeni	9	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2]
1584	species	Lactobacillus delbrueckii	32	8	11	9	9.0	8.94	0.56	[9, 9, 9, 8, 11, 10, 8, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
1596	species	Lactobacillus gasseri	18	4	7	6	5.5	5.28	0.93	[6, 7, 4, 6, 4, 5, 6, 5, 6, 6, 4, 5, 6, 6, 6, 5, 4, 4]
1245	species	Leuconostoc mesenteroides	31	3	4	4	4	3.97	0.18	[4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
1580	species	Levilactobacillus brevis	27	4	6	5	5	5.00	0.27	[5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
1255	species	Pediococcus pentosaceus	32	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
1597	species	Lacticaseibacillus paracasei	77	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
132919	species	Rhodococcus jostii	1	4	4	4	4	4.00	0.00	[4]
64471	species	Synechococcus sp. CC9311	1	2	2	2	2	2.00	0.00	[2]
60480	species	Shewanella sp. MR-4	1	9	9	9	9	9.00	0.00	[9]
56812	species	Shewanella frigidimarina	1	9	9	9	9	9.00	0.00	[9]
863	species	Syntrophomonas wolfei	1	3	3	3	3	3.00	0.00	[3]
74318	species	Maricaulis maris	2	2	2	2	2.0	2.00	0.00	[2, 2]
916	species	Nitrosomonas eutropha	1	1	1	1	1	1.00	0.00	[1]
351052	species	Alkalilimnicola ehrlichii	1	2	2	2	2	2.00	0.00	[2]
644	species	Aeromonas hydrophila	59	9	11	10	10	9.97	0.26	[10, 10, 10, 10, 10, 10, 11, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
1124597	species	Magnetococcus marinus	1	3	3	3	3	3.00	0.00	[3]
404011	species	Shewanella piezotolerans	1	8	8	8	8	8.00	0.00	[8]
43663	species	Paenarthrobacter aurescens	1	6	6	6	6	6.00	0.00	[6]
2224	species	Methanothrix thermoacetophila	1	2	2	2	2	2.00	0.00	[2]
119484	species	Syntrophobacter fumaroxidans	1	2	2	2	2	2.00	0.00	[2]
28049	species	Acidothermus cellulolyticus	1	1	1	1	1	1.00	0.00	[1]
29543	species	Pelobacter propionicus	1	4	4	4	4	4.00	0.00	[4]
386487	species	Candidatus Ruthturnera calyptogenae	1	1	1	1	1	1.00	0.00	[1]
1096	species	Chlorobium phaeobacteroides	1	2	2	2	2	2.00	0.00	[2]
54248	species	Hyperthermus butylicus	1	1	1	1	1	1.00	0.00	[1]
288000	species	Bradyrhizobium sp. BTAi1	1	2	2	2	2	2.00	0.00	[2]
351745	species	Shewanella sp. W3-18-1	1	8	8	8	8	8.00	0.00	[8]
2277	species	Pyrobaculum islandicum	1	1	1	1	1	1.00	0.00	[1]
2269	species	Thermofilum pendens	1	1	1	1	1	1.00	0.00	[1]
60478	species	Shewanella amazonensis	1	8	8	8	8	8.00	0.00	[8]
196162	species	Nocardioides sp. JS614	1	2	2	2	2	2.00	0.00	[2]
357794	species	Psychromonas ingrahamii	1	10	10	10	10	10.00	0.00	[10]
110539	species	Mycolicibacterium vanbaalenii	3	2	2	2	2	2.00	0.00	[2, 2, 2]
80869	species	Paracidovorax citrulli	13	3	3	3	3	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
870	species	Dichelobacter nodosus	1	3	3	3	3	3.00	0.00	[3]
2743	species	Marinobacter nauticus	2	3	3	3	3.0	3.00	0.00	[3, 3]
1587	species	Lactobacillus helveticus	25	4	5	4	4	4.24	0.43	[4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 4, 4, 4, 5]
774	species	Bartonella bacilliformis	3	2	2	2	2	2.00	0.00	[2, 2, 2]
881	species	Nitratidesulfovibrio vulgaris	4	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5]
216465	species	Polaromonas naphthalenivorans	1	2	2	2	2	2.00	0.00	[2]
364317	species	Verminephrobacter eiseniae	1	3	3	3	3	3.00	0.00	[3]
1053	species	Halorhodospira halophila	1	2	2	2	2	2.00	0.00	[2]
105560	species	Methylibium petroleiphilum	1	1	1	1	1	1.00	0.00	[1]
33940	species	Geobacillus thermodenitrificans	5	10	10	10	10	10.00	0.00	[10, 10, 10, 10, 10]
83984	species	Methanocorpusculum labreanum	1	3	3	3	3	3.00	0.00	[3]
492670	species	Bacillus velezensis	340	1	11	9	9.0	8.64	1.55	[9, 9, 10, 10, 9, 9, 10, 9, 10, 9, 8, 7, 7, 9, 8, 8, 8, 9, 9, 10, 7, 8, 9, 7, 9, 9, 5, 9, 9, 9, 9, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 7, 9, 9, 7, 9, 7, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 6, 9, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 1, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 11, 9, 9, 9, 1, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]
181486	species	Pyrobaculum calidifontis	1	1	1	1	1	1.00	0.00	[1]
2198	species	Methanoculleus marisnigri	1	1	1	1	1	1.00	0.00	[1]
62322	species	Shewanella baltica	13	10	10	10	10	10.00	0.00	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
1515	species	Acetivibrio thermocellus	5	4	4	4	4	4.00	0.00	[4, 4, 4, 4, 4]
715	species	Actinobacillus pleuropneumoniae	36	6	6	6	6.0	6.00	0.00	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
2280	species	Staphylothermus marinus	1	1	1	1	1	1.00	0.00	[1]
1063	species	Cereibacter sphaeroides	8	3	4	3	3.0	3.25	0.43	[4, 4, 3, 3, 3, 3, 3, 3]
359303	species	Shewanella loihica	1	8	8	8	8	8.00	0.00	[8]
59610	species	Desulforamulus reducens	1	8	8	8	8	8.00	0.00	[8]
34018	species	Rhodospirillum centenum	1	4	4	4	4	4.00	0.00	[4]
3025782	species	Allorhizobium ampelinum	1	4	4	4	4	4.00	0.00	[4]
399742	species	Enterobacter sp. 638	1	7	7	7	7	7.00	0.00	[7]
576611	species	Polynucleobacter asymbioticus	5	1	1	1	1	1.00	0.00	[1, 1, 1, 1, 1]
121277	species	Pyrobaculum arsenaticum	1	1	1	1	1	1.00	0.00	[1]
168695	species	Salinispora tropica	1	3	3	3	3	3.00	0.00	[3]
2173	species	Methanobrevibacter smithii	5	2	2	2	2	2.00	0.00	[2, 2, 2, 2, 2]
44001	species	Caldicellulosiruptor saccharolyticus	1	3	3	3	3	3.00	0.00	[3]
35791	species	Rickettsia massiliae	1	1	1	1	1	1.00	0.00	[1]
986	species	Flavobacterium johnsoniae	3	5	6	6	6	5.67	0.47	[6, 5, 6]
357808	species	Roseiflexus sp. RS-1	1	2	2	2	2	2.00	0.00	[2]
524	species	Acidiphilium cryptum	1	2	2	2	2	2.00	0.00	[2]
351604	species	Geotalea uraniireducens	2	2	2	2	2.0	2.00	0.00	[2, 2]
93929	species	Thermotoga petrophila	2	1	1	1	1.0	1.00	0.00	[1, 1]
236	species	Brucella ovis	1	3	3	3	3	3.00	0.00	[3]
46541	species	Thermosipho melanesiensis	2	4	4	4	4.0	4.00	0.00	[4, 4]
633	species	Yersinia pseudotuberculosis	27	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
1520	species	Clostridium beijerinckii	11	14	16	16	15	15.18	0.83	[14, 16, 14, 16, 14, 15, 16, 16, 16, 15, 15]
208226	species	Alkaliphilus metalliredigens	1	10	10	10	10	10.00	0.00	[10]
1302	species	Streptococcus gordonii	13	2	5	4	4	3.92	0.62	[4, 2, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
1491	species	Clostridium botulinum	65	1	11	9	9	8.75	1.88	[8, 8, 9, 9, 9, 11, 9, 9, 9, 9, 10, 9, 8, 11, 11, 10, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 8, 9, 9, 9, 9, 9, 9, 1, 1, 1, 9, 9, 9, 9, 10, 9, 9, 9, 9, 9, 9, 9, 11, 9, 7, 9, 9, 9, 11, 11, 11, 9, 8, 8, 8, 9, 9, 9]
110321	species	Sinorhizobium medicae	10	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
2187	species	Methanococcus vannielii	1	4	4	4	4	4.00	0.00	[4]
42879	species	Methanococcus aeolicus	2	2	2	2	2.0	2.00	0.00	[2, 2]
284016	species	Phenylobacterium zucineum	1	1	1	1	1	1.00	0.00	[1]
131568	species	Kineococcus radiotolerans	1	4	4	4	4	4.00	0.00	[4]
529	species	Brucella anthropi	8	4	4	4	4.0	4.00	0.00	[4, 4, 4, 4, 4, 4, 4, 4]
580165	species	Bacillus cytotoxicus	17	12	13	13	13	12.82	0.38	[13, 13, 13, 13, 12, 13, 13, 13, 13, 13, 13, 13, 13, 12, 13, 12, 13]
783	species	Rickettsia rickettsii	16	1	1	1	1.0	1.00	0.00	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
200	species	Campylobacter curvus	4	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3]
404589	species	Anaeromyxobacter sp. Fw109-5	1	2	2	2	2	2.00	0.00	[2]
2424	species	Fervidobacterium nodosum	1	2	2	2	2	2.00	0.00	[2]
256618	species	Parvibaculum lavamentivorans	1	1	1	1	1	1.00	0.00	[1]
76517	species	Campylobacter hominis	2	3	3	3	3.0	3.00	0.00	[3, 3]
358766	species	Methanoregula boonei	1	1	1	1	1	1.00	0.00	[1]
28141	species	Cronobacter sakazakii	21	7	7	7	7	7.00	0.00	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
680	species	Vibrio campbellii	18	10	14	12	12.0	11.78	0.79	[11, 10, 11, 12, 12, 12, 12, 12, 12, 12, 11, 14, 12, 12, 12, 12, 11, 12]
199	species	Campylobacter concisus	16	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
120962	species	Roseiflexus castenholzii	1	2	2	2	2	2.00	0.00	[2]
2546360	species	Crocosphaera subtropica	1	2	2	2	2	2.00	0.00	[2]
177758	species	Pseudothermotoga lettingae	1	1	1	1	1	1.00	0.00	[1]
1408	species	Bacillus pumilus	16	7	8	8	8.0	7.94	0.24	[7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
160233	species	Ignicoccus hospitalis	1	1	1	1	1	1.00	0.00	[1]
1421	species	Lysinibacillus sphaericus	7	10	12	12	12	11.43	0.90	[10, 12, 12, 12, 12, 12, 10]
271097	species	Shewanella sediminis	1	12	12	12	12	12.00	0.00	[12]
545	species	Citrobacter koseri	28	6	7	7	7.0	6.93	0.26	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
155978	species	Acaryochloris marina	3	2	2	2	2	2.00	0.00	[2, 2, 2]
215813	species	Dinoroseobacter shibae	3	2	2	2	2	2.00	0.00	[2, 2, 2]
1307	species	Streptococcus suis	142	3	4	4	4.0	3.99	0.08	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]
786	species	Rickettsia akari	1	1	1	1	1	1.00	0.00	[1]
70864	species	Shewanella pealeana	1	11	11	11	11	11.00	0.00	[11]
76887	species	Caldivirga maquilingensis	1	1	1	1	1	1.00	0.00	[1]
461876	species	Alkaliphilus oremlandii	1	8	8	8	8	8.00	0.00	[8]
1781	species	Mycobacterium marinum	7	1	3	2	2	2.00	0.53	[1, 2, 2, 2, 2, 2, 3]
342948	species	Thermococcus onnurineus	1	1	1	1	1	1.00	0.00	[1]
181663	species	Desulfosudis oleivorans	1	1	1	1	1	1.00	0.00	[1]
471827	species	Candidatus Desulforudis audaxviator	2	2	2	2	2.0	2.00	0.00	[2, 2]
470	species	Acinetobacter baumannii	610	1	7	6	6.0	5.98	0.32	[6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]
338192	species	Nitrosopumilus maritimus	1	1	1	1	1	1.00	0.00	[1]
36855	species	Brucella canis	8	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
69499	species	Petrotoga mobilis	1	2	2	2	2	2.00	0.00	[2]
80866	species	Delftia acidovorans	7	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5]
66219	species	Lachnoclostridium phytofermentans	1	8	8	8	8	8.00	0.00	[8]
2148	species	Acholeplasma laidlawii	3	2	2	2	2	2.00	0.00	[2, 2, 2]
408	species	Methylorubrum extorquens	9	5	5	5	5	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5]
1108	species	Chloroflexus aurantiacus	1	3	3	3	3	3.00	0.00	[3]
1646	species	Renibacterium salmoninarum	3	2	2	2	2	2.00	0.00	[2, 2, 2]
2337	species	Thermotoga neapolitana	1	1	1	1	1	1.00	0.00	[1]
33934	species	Anoxybacillus flavithermus	2	8	9	8	8.5	8.50	0.50	[8, 9]
399726	species	Thermoanaerobacter sp. X514	1	4	4	4	4	4.00	0.00	[4]
496866	species	Thermoanaerobacter pseudethanolicus	1	4	4	4	4	4.00	0.00	[4]
35701	species	Heliomicrobium modesticaldum	1	10	10	10	10	10.00	0.00	[10]
271098	species	Shewanella halifaxensis	1	10	10	10	10	10.00	0.00	[10]
201	species	Campylobacter lari	14	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
155077	species	Cellvibrio japonicus	1	3	3	3	3	3.00	0.00	[3]
426117	species	Methylobacterium sp. 4-46	1	6	6	6	6	6.00	0.00	[6]
731	species	Histophilus somni	30	5	5	5	5.0	5.00	0.00	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]
32049	species	Picosynechococcus sp. PCC 7002	1	2	2	2	2	2.00	0.00	[2]
2978683	species	Burkholderia orbicola	1	6	6	6	6	6.00	0.00	[6]
60961	species	Shewanella woodyi	1	10	10	10	10	10.00	0.00	[10]
244366	species	Klebsiella variicola	88	7	8	8	8.0	7.99	0.11	[8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
498846	species	Candidatus Korarchaeum cryptofilum	1	1	1	1	1	1.00	0.00	[1]
126740	species	Thermotoga sp. RQ2	1	1	1	1	1	1.00	0.00	[1]
511746	species	Candidatus Methylacidiphilum infernorum	2	1	1	1	1.0	1.00	0.00	[1, 1]
44449	species	Borrelia recurrentis	1	1	1	1	1	1.00	0.00	[1]
31998	species	Methylobacterium radiotolerans	2	6	6	6	6.0	6.00	0.00	[6, 6]
34029	species	Leptothrix cholodnii	1	2	2	2	2	2.00	0.00	[2]
70771	species	Pyrobaculum neutrophilum	1	1	1	1	1	1.00	0.00	[1]
533	species	Beijerinckia indica	1	3	3	3	3	3.00	0.00	[3]
332410	species	Exiguobacterium sibiricum	1	9	9	9	9	9.00	0.00	[9]
152480	species	Burkholderia ambifaria	12	5	6	6	6.0	5.92	0.28	[6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6]
223967	species	Methylorubrum populi	3	5	5	5	5	5.00	0.00	[5, 5, 5]
107709	species	Opitutus terrae	1	1	1	1	1	1.00	0.00	[1]
375929	species	Natranaerobius thermophilus	2	4	4	4	4.0	4.00	0.00	[4, 4]
272131	species	Nostoc punctiforme	1	4	4	4	4	4.00	0.00	[4]
148447	species	Paraburkholderia phymatum	1	6	6	6	6	6.00	0.00	[6]
2111	species	Metamycoplasma arthritidis	2	1	1	1	1.0	1.00	0.00	[1, 1]
261302	species	Paraburkholderia phytofirmans	2	6	7	6	6.5	6.50	0.50	[6, 7]
423605	species	Elusimicrobium minutum	1	1	1	1	1	1.00	0.00	[1]
239935	species	Akkermansia muciniphila	88	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
436114	species	Sulfurihydrogenibium sp. YO3AOP1	1	3	3	3	3	3.00	0.00	[3]
2296	species	Desulforapulum autotrophicum	1	6	6	6	6	6.00	0.00	[6]
313985	species	Trichlorobacter lovleyi	2	2	2	2	2.0	2.00	0.00	[2, 2]
1092	species	Chlorobium limicola	1	2	2	2	2	2.00	0.00	[2]
31909	species	Halothermothrix orenii	1	4	4	4	4	4.00	0.00	[4]
274539	species	Chlorobaculum parvum	1	2	2	2	2	2.00	0.00	[2]
100716	species	Chloroherpeton thalassium	1	1	1	1	1	1.00	0.00	[1]
281120	species	Candidatus Amoebophilus asiaticus	1	1	1	1	1	1.00	0.00	[1]
314275	species	Alteromonas mediterranea	15	1	5	5	5	4.20	1.60	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1]
39491	species	Agathobacter rectalis	3	5	5	5	5	5.00	0.00	[5, 5, 5]
1102	species	Prosthecochloris aestuarii	1	1	1	1	1	1.00	0.00	[1]
34090	species	Pelodictyon phaeoclathratiforme	1	3	3	3	3	3.00	0.00	[3]
40324	species	Stenotrophomonas maltophilia	64	1	5	4	4.0	3.73	0.64	[4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 4, 4, 3, 4, 4, 4, 4, 3, 3, 4, 3, 4, 4, 4, 4, 3, 4]
310783	species	Deinococcus deserti	1	4	4	4	4	4.00	0.00	[4]
225194	species	Citrifermentans bemidjiense	1	4	4	4	4	4.00	0.00	[4]
